date,portfolio_value,cash,n_positions,portfolio_return,sp500_value,sp500_return
2023-08-10,108648.62631225583,108648.62631225583,0,8.648626312255825,161.67604064941406,2.288635107754655
2023-08-11,108648.62631225583,108648.62631225583,0,8.648626312255825,163.25364685058594,3.2867495123826362
2023-08-14,108648.62631225583,108648.62631225583,0,8.648626312255825,162.86863708496094,3.0431628728858406
2023-08-15,108648.62631225583,108648.62631225583,0,8.648626312255825,162.39910888671875,2.7461034053860134
2023-08-16,108648.62631225583,108648.62631225583,0,8.648626312255825,161.88265991210938,2.419358264279148
2023-08-17,108648.62631225583,108648.62631225583,0,8.648626312255825,163.40386962890625,3.3817919373131167
2023-08-18,108648.62631225583,108648.62631225583,0,8.648626312255825,161.97653198242188,2.478748919248397
2023-08-21,108648.62631225583,108648.62631225583,0,8.648626312255825,157.1498260498047,-0.574994603482426
2023-08-22,108648.62631225583,108648.62631225583,0,8.648626312255825,155.90089416503906,-1.3651644846972566
2023-08-23,108648.62631225583,108648.62631225583,0,8.648626312255825,154.501708984375,-2.250396098597751
2023-08-24,108648.62631225583,108648.62631225583,0,8.648626312255825,155.02755737304688,-1.9177041688918872
2023-08-25,108648.62631225583,108648.62631225583,0,8.648626312255825,157.25035095214844,-0.5113948578814087
2023-08-28,108648.62631225583,108648.62631225583,0,8.648626312255825,155.3964385986328,-1.6843216780138337
2023-08-29,108648.62631225583,108648.62631225583,0,8.648626312255825,155.41539001464844,-1.6723315620398749
2023-08-30,108648.62631225583,108648.62631225583,0,8.648626312255825,154.86676025390625,-2.019436730996249
2023-08-31,108648.62631225583,108648.62631225583,0,8.648626312255825,152.927734375,-3.246212880357946
2023-09-01,108648.62631225583,108648.62631225583,0,8.648626312255825,151.79269409179688,-3.9643262191978557
2023-09-05,108648.62631225583,108648.62631225583,0,8.648626312255825,151.98187255859375,-3.844637444765342
2023-09-06,108648.62631225583,108648.62631225583,0,8.648626312255825,149.45639038085938,-5.442450725643367
2023-09-07,108648.62631225583,108648.62631225583,0,8.648626312255825,151.3670654296875,-4.233611480854627
2023-09-08,108648.62631225583,108648.62631225583,0,8.648626312255825,151.86837768554688,-3.9164429863227768
2023-09-11,108648.62631225583,108648.62631225583,0,8.648626312255825,153.8546905517578,-2.659749470291739
2023-09-12,108648.62631225583,108648.62631225583,0,8.648626312255825,154.72488403320312,-2.1091984848818357
2023-09-13,108648.62631225583,108648.62631225583,0,8.648626312255825,155.11268615722656,-1.863845185785018
2023-09-14,108648.62631225583,108648.62631225583,0,8.648626312255825,154.87620544433594,-2.013460980764459
2023-09-15,108648.62631225583,108648.62631225583,0,8.648626312255825,152.710205078125,-3.383838559363428
2023-09-18,108648.62631225583,108648.62631225583,0,8.648626312255825,153.6749725341797,-2.773452840614865
2023-09-19,108648.62631225583,108648.62631225583,0,8.648626312255825,153.41958618164062,-2.935029789935484
2023-09-20,108648.62631225583,108648.62631225583,0,8.648626312255825,154.09115600585938,-2.5101433291898845
2023-09-21,108648.62631225583,108648.62631225583,0,8.648626312255825,152.90882873535156,-3.258174034699124
2023-09-22,108648.62631225583,108648.62631225583,0,8.648626312255825,151.81163024902344,-3.952345757101494
